kind,run,exit,elapsed_ns
seam,700,0,793175
seam,701,0,799154
seam,702,0,790594
seam,703,0,803224
seam,704,0,791264
seam,705,0,795285
seam,706,0,799934
seam,707,0,788705
seam,708,0,806134
seam,709,0,782375
seam,710,0,786265
seam,711,0,803495
seam,712,0,862853
seam,713,0,795625
seam,714,0,793975
seam,715,0,796365
seam,716,0,796064
seam,717,0,838204
seam,718,0,786215
seam,719,0,789725
seam,720,0,786375
seam,721,0,792265
seam,722,0,783775
seam,723,0,793605
seam,724,0,787655
seam,725,0,869642
seam,726,0,790005
seam,727,0,785924
seam,728,0,793534
seam,729,0,794345
seam,730,0,805464
seam,731,0,785105
seam,732,0,796604
seam,733,0,785665
seam,734,0,843473
seam,735,0,795624
seam,736,0,802755
seam,737,0,788905
seam,738,0,865972
seam,739,0,787485
seam,740,0,795735
seam,741,0,788824
seam,742,0,791645
seam,743,0,795085
seam,744,0,792474
seam,745,0,863703
seam,746,0,782155
seam,747,0,795744
seam,748,0,787125
seam,749,0,792705
seam,750,0,853063
seam,751,0,793745
seam,752,0,779755
seam,753,0,789015
seam,754,0,788765
seam,755,0,795035
seam,756,0,794385
seam,757,0,785465
seam,758,0,796124
seam,759,0,856743
seam,760,0,800234
seam,761,0,794345
seam,762,0,788965
seam,763,0,787245
seam,764,0,792055
seam,765,0,784825
seam,766,0,784375
seam,767,0,787075
seam,768,0,867372
seam,769,0,795525
seam,770,0,791335
seam,771,0,798944
seam,772,0,792625
seam,773,0,862913
seam,774,0,785095
seam,775,0,799524
seam,776,0,779226
seam,777,0,794645
seam,778,0,791405
seam,779,0,784405
seam,780,0,791315
seam,781,0,788664
seam,782,0,870783
seam,783,0,779885
seam,784,0,786075
seam,785,0,783195
seam,786,0,790054
seam,787,0,787015
seam,788,0,788054
seam,789,0,792025
seam,790,0,971449
seam,791,0,951639
seam,792,0,853053
seam,793,0,837344
seam,794,0,839893
seam,795,0,878962
seam,796,0,814924
seam,797,0,801954
seam,798,0,807104
seam,799,0,816994
seam,800,0,805634
seam,801,0,795565
seam,802,0,928110
seam,803,0,831623
seam,804,0,830304
seam,805,0,834724
seam,806,0,812724
seam,807,0,803074
seam,808,0,816034
seam,809,0,843193
seam,810,0,805085
seam,811,0,790734
seam,812,0,799825
seam,813,0,798724
seam,814,0,825694
seam,815,0,798564
seam,816,0,789465
seam,817,0,800515
seam,818,0,787704
seam,819,0,790435
seam,820,0,789215
seam,821,0,799484
seam,822,0,795105
seam,823,0,867942
seam,824,0,805484
seam,825,0,787685
seam,826,0,801134
seam,827,0,786885
seam,828,0,799635
seam,829,0,793235
seam,830,0,795605
seam,831,0,790925
seam,832,0,804214
seam,833,0,799034
seam,834,0,801925
seam,835,0,785485
seam,836,0,844043
seam,837,0,801854
seam,838,0,792034
seam,839,0,794775
seam,840,0,792825
seam,841,0,806434
seam,842,0,793825
seam,843,0,805314
seam,844,0,990169
seam,845,0,800045
seam,846,0,794155
seam,847,0,803134
seam,848,0,1298189
seam,849,0,910381
seam,850,0,886622
seam,851,0,1105045
seam,852,0,825654
seam,853,0,806055
seam,854,0,800985
seam,855,0,805375
seam,856,0,882352
seam,857,0,1017937
seam,858,0,812224
seam,859,0,803394
seam,860,0,792804
seam,861,0,797985
seam,862,0,796795
seam,863,0,807034
seam,864,0,805244
seam,865,0,828824
seam,866,0,792775
seam,867,0,805515
seam,868,0,793614
seam,869,0,800725
seam,870,0,836953
seam,871,0,801445
seam,872,0,790664
seam,873,0,801345
seam,874,0,854092
seam,875,0,799315
seam,876,0,806554
seam,877,0,793374
seam,878,0,793505
seam,879,0,837333
seam,880,0,799165
seam,881,0,795584
seam,882,0,796594
seam,883,0,858423
seam,884,0,805964
seam,885,0,791665
seam,886,0,793945
seam,887,0,794335
seam,888,0,790524
seam,889,0,796215
seam,890,0,792504
seam,891,0,797545
seam,892,0,870823
seam,893,0,813294
seam,894,0,801114
seam,895,0,801364
seam,896,0,1284979
seam,897,0,866452
seam,898,0,843433
seam,899,0,795995
seam,900,0,807414
seam,901,0,798364
seam,902,0,793475
seam,903,0,791115
seam,904,0,1097035
seam,905,0,823504
seam,906,0,795725
seam,907,0,796595
seam,908,0,801735
seam,909,0,795945
seam,910,0,800274
seam,911,0,960209
seam,912,0,961819
seam,913,0,846963
seam,914,0,1122045
seam,915,0,824604
seam,916,0,1275060
seam,917,0,852402
seam,918,0,798095
seam,919,0,796705
seam,920,0,859623
seam,921,0,804604
seam,922,0,787725
seam,923,0,800884
seam,924,0,821864
seam,925,0,810724
seam,926,0,809354
seam,927,0,808664
seam,928,0,807594
seam,929,0,809455
seam,930,0,806144
seam,931,0,813314
seam,932,0,810774
seam,933,0,801045
seam,934,0,834543
seam,935,0,875862
seam,936,0,807074
seam,937,0,795115
seam,938,0,813604
seam,939,0,878782
seam,940,0,1218061
seam,941,0,812594
seam,942,0,807235
seam,943,0,1024428
seam,944,0,916681
seam,945,0,865362
seam,946,0,833423
seam,947,0,813484
seam,948,0,820924
seam,949,0,812164
seam,950,0,805675
seam,951,0,815204
seam,952,0,813364
seam,953,0,845463
seam,954,0,827544
seam,955,0,812924
seam,956,0,809694
seam,957,0,815484
seam,958,0,825354
seam,959,0,817124
seam,960,0,815944
seam,961,0,811124
seam,962,0,818394
seam,963,0,842613
seam,964,0,810964
seam,965,0,800844
seam,966,0,800174
seam,967,0,807864
seam,968,0,913141
seam,969,0,859103
seam,970,0,817954
seam,971,0,817884
seam,972,0,798345
seam,973,0,801055
seam,974,0,811134
seam,975,0,804674
seam,976,0,859563
seam,977,0,806025
seam,978,0,802575
seam,979,0,881591
seam,980,0,800805
seam,981,0,796925
seam,982,0,796325
seam,983,0,805404
seam,984,0,804364
seam,985,0,804114
seam,986,0,818364
seam,987,0,812894
seam,988,0,801075
seam,989,0,812094
seam,990,0,1232821
seam,991,0,841283
seam,992,0,801295
seam,993,0,793034
seam,994,0,816104
seam,995,0,854643
seam,996,0,806064
seam,997,0,799815
seam,998,0,801984
seam,999,0,827993
seam,1000,0,802815
wire,1,0,61587656
wire,2,0,60254209
wire,3,0,60349486
wire,4,0,63676310
wire,5,0,63097158
wire,6,0,63028560
wire,7,0,61926435
wire,8,0,62828257
wire,9,0,61744712
wire,10,0,63670600
wire,11,0,63057470
wire,12,0,62105301
wire,13,0,63359910
wire,14,0,62126820
wire,15,0,63299112
wire,16,0,62328583
wire,17,0,62667982
wire,18,0,61561068
wire,19,0,63139357
wire,20,0,63151787
wire,21,0,63024931
wire,22,0,63480857
wire,23,0,61798180
wire,24,0,62699401
wire,25,0,61233368
wire,26,0,63328011
wire,27,0,62745790
wire,28,0,60958377
wire,29,0,63372210
wire,30,0,62928124
wire,31,0,62753059
wire,32,0,60983686
wire,33,0,62756640
wire,34,0,61163621
wire,35,0,62941914
wire,36,0,60814782
wire,37,0,62800489
wire,38,0,61292986
wire,39,0,62874656
wire,40,0,61541708
wire,41,0,63580743
wire,42,0,63270014
wire,43,0,63455587
wire,44,0,63390200
wire,45,0,62880735
wire,46,0,63363850
wire,47,0,63304902
wire,48,0,61920377
wire,49,0,63761547
wire,50,0,62749100
wire,51,0,62745511
wire,52,0,62783489
wire,53,0,61631256
wire,54,0,63356031
