026	status=ok_non_authoritative credential_admitted=1 credential_before_root=1 key_tuple=1 parent=1 root=1 fixture=1 lock_identity=1 root_empty=1 fixture_layout=1 not_reported_read_only=1 ofd_lock=1 scratch_wiped=1 owner_wiped=1 owner_unlocked=1 credential_syscalls=17 root_fixture_syscalls=41 ofd_attempts=1 filesystem_reserve=948568064 logical_authority_bound=16777216
027	status=ok_non_authoritative credential_admitted=1 credential_before_root=1 key_tuple=1 parent=1 root=1 fixture=1 lock_identity=1 root_empty=1 fixture_layout=1 not_reported_read_only=1 ofd_lock=1 scratch_wiped=1 owner_wiped=1 owner_unlocked=1 credential_syscalls=17 root_fixture_syscalls=41 ofd_attempts=1 filesystem_reserve=948568064 logical_authority_bound=16777216
028	status=ok_non_authoritative credential_admitted=1 credential_before_root=1 key_tuple=1 parent=1 root=1 fixture=1 lock_identity=1 root_empty=1 fixture_layout=1 not_reported_read_only=1 ofd_lock=1 scratch_wiped=1 owner_wiped=1 owner_unlocked=1 credential_syscalls=17 root_fixture_syscalls=41 ofd_attempts=1 filesystem_reserve=948568064 logical_authority_bound=16777216
029	status=ok_non_authoritative credential_admitted=1 credential_before_root=1 key_tuple=1 parent=1 root=1 fixture=1 lock_identity=1 root_empty=1 fixture_layout=1 not_reported_read_only=1 ofd_lock=1 scratch_wiped=1 owner_wiped=1 owner_unlocked=1 credential_syscalls=17 root_fixture_syscalls=41 ofd_attempts=1 filesystem_reserve=948568064 logical_authority_bound=16777216
030	status=ok_non_authoritative credential_admitted=1 credential_before_root=1 key_tuple=1 parent=1 root=1 fixture=1 lock_identity=1 root_empty=1 fixture_layout=1 not_reported_read_only=1 ofd_lock=1 scratch_wiped=1 owner_wiped=1 owner_unlocked=1 credential_syscalls=17 root_fixture_syscalls=41 ofd_attempts=1 filesystem_reserve=948568064 logical_authority_bound=16777216
031	status=ok_non_authoritative credential_admitted=1 credential_before_root=1 key_tuple=1 parent=1 root=1 fixture=1 lock_identity=1 root_empty=1 fixture_layout=1 not_reported_read_only=1 ofd_lock=1 scratch_wiped=1 owner_wiped=1 owner_unlocked=1 credential_syscalls=17 root_fixture_syscalls=41 ofd_attempts=1 filesystem_reserve=948568064 logical_authority_bound=16777216
032	status=ok_non_authoritative credential_admitted=1 credential_before_root=1 key_tuple=1 parent=1 root=1 fixture=1 lock_identity=1 root_empty=1 fixture_layout=1 not_reported_read_only=1 ofd_lock=1 scratch_wiped=1 owner_wiped=1 owner_unlocked=1 credential_syscalls=17 root_fixture_syscalls=41 ofd_attempts=1 filesystem_reserve=948568064 logical_authority_bound=16777216
033	status=ok_non_authoritative credential_admitted=1 credential_before_root=1 key_tuple=1 parent=1 root=1 fixture=1 lock_identity=1 root_empty=1 fixture_layout=1 not_reported_read_only=1 ofd_lock=1 scratch_wiped=1 owner_wiped=1 owner_unlocked=1 credential_syscalls=17 root_fixture_syscalls=41 ofd_attempts=1 filesystem_reserve=948568064 logical_authority_bound=16777216
034	status=ok_non_authoritative credential_admitted=1 credential_before_root=1 key_tuple=1 parent=1 root=1 fixture=1 lock_identity=1 root_empty=1 fixture_layout=1 not_reported_read_only=1 ofd_lock=1 scratch_wiped=1 owner_wiped=1 owner_unlocked=1 credential_syscalls=17 root_fixture_syscalls=41 ofd_attempts=1 filesystem_reserve=948568064 logical_authority_bound=16777216
035	status=ok_non_authoritative credential_admitted=1 credential_before_root=1 key_tuple=1 parent=1 root=1 fixture=1 lock_identity=1 root_empty=1 fixture_layout=1 not_reported_read_only=1 ofd_lock=1 scratch_wiped=1 owner_wiped=1 owner_unlocked=1 credential_syscalls=17 root_fixture_syscalls=41 ofd_attempts=1 filesystem_reserve=948568064 logical_authority_bound=16777216
036	status=ok_non_authoritative credential_admitted=1 credential_before_root=1 key_tuple=1 parent=1 root=1 fixture=1 lock_identity=1 root_empty=1 fixture_layout=1 not_reported_read_only=1 ofd_lock=1 scratch_wiped=1 owner_wiped=1 owner_unlocked=1 credential_syscalls=17 root_fixture_syscalls=41 ofd_attempts=1 filesystem_reserve=948568064 logical_authority_bound=16777216
037	status=ok_non_authoritative credential_admitted=1 credential_before_root=1 key_tuple=1 parent=1 root=1 fixture=1 lock_identity=1 root_empty=1 fixture_layout=1 not_reported_read_only=1 ofd_lock=1 scratch_wiped=1 owner_wiped=1 owner_unlocked=1 credential_syscalls=17 root_fixture_syscalls=41 ofd_attempts=1 filesystem_reserve=948568064 logical_authority_bound=16777216
038	status=ok_non_authoritative credential_admitted=1 credential_before_root=1 key_tuple=1 parent=1 root=1 fixture=1 lock_identity=1 root_empty=1 fixture_layout=1 not_reported_read_only=1 ofd_lock=1 scratch_wiped=1 owner_wiped=1 owner_unlocked=1 credential_syscalls=17 root_fixture_syscalls=41 ofd_attempts=1 filesystem_reserve=948568064 logical_authority_bound=16777216
039	status=ok_non_authoritative credential_admitted=1 credential_before_root=1 key_tuple=1 parent=1 root=1 fixture=1 lock_identity=1 root_empty=1 fixture_layout=1 not_reported_read_only=1 ofd_lock=1 scratch_wiped=1 owner_wiped=1 owner_unlocked=1 credential_syscalls=17 root_fixture_syscalls=41 ofd_attempts=1 filesystem_reserve=948568064 logical_authority_bound=16777216
040	status=ok_non_authoritative credential_admitted=1 credential_before_root=1 key_tuple=1 parent=1 root=1 fixture=1 lock_identity=1 root_empty=1 fixture_layout=1 not_reported_read_only=1 ofd_lock=1 scratch_wiped=1 owner_wiped=1 owner_unlocked=1 credential_syscalls=17 root_fixture_syscalls=41 ofd_attempts=1 filesystem_reserve=948568064 logical_authority_bound=16777216
041	status=ok_non_authoritative credential_admitted=1 credential_before_root=1 key_tuple=1 parent=1 root=1 fixture=1 lock_identity=1 root_empty=1 fixture_layout=1 not_reported_read_only=1 ofd_lock=1 scratch_wiped=1 owner_wiped=1 owner_unlocked=1 credential_syscalls=17 root_fixture_syscalls=41 ofd_attempts=1 filesystem_reserve=948568064 logical_authority_bound=16777216
042	status=ok_non_authoritative credential_admitted=1 credential_before_root=1 key_tuple=1 parent=1 root=1 fixture=1 lock_identity=1 root_empty=1 fixture_layout=1 not_reported_read_only=1 ofd_lock=1 scratch_wiped=1 owner_wiped=1 owner_unlocked=1 credential_syscalls=17 root_fixture_syscalls=41 ofd_attempts=1 filesystem_reserve=948568064 logical_authority_bound=16777216
043	status=ok_non_authoritative credential_admitted=1 credential_before_root=1 key_tuple=1 parent=1 root=1 fixture=1 lock_identity=1 root_empty=1 fixture_layout=1 not_reported_read_only=1 ofd_lock=1 scratch_wiped=1 owner_wiped=1 owner_unlocked=1 credential_syscalls=17 root_fixture_syscalls=41 ofd_attempts=1 filesystem_reserve=948568064 logical_authority_bound=16777216
044	status=ok_non_authoritative credential_admitted=1 credential_before_root=1 key_tuple=1 parent=1 root=1 fixture=1 lock_identity=1 root_empty=1 fixture_layout=1 not_reported_read_only=1 ofd_lock=1 scratch_wiped=1 owner_wiped=1 owner_unlocked=1 credential_syscalls=17 root_fixture_syscalls=41 ofd_attempts=1 filesystem_reserve=948568064 logical_authority_bound=16777216
045	status=ok_non_authoritative credential_admitted=1 credential_before_root=1 key_tuple=1 parent=1 root=1 fixture=1 lock_identity=1 root_empty=1 fixture_layout=1 not_reported_read_only=1 ofd_lock=1 scratch_wiped=1 owner_wiped=1 owner_unlocked=1 credential_syscalls=17 root_fixture_syscalls=41 ofd_attempts=1 filesystem_reserve=948568064 logical_authority_bound=16777216
046	status=ok_non_authoritative credential_admitted=1 credential_before_root=1 key_tuple=1 parent=1 root=1 fixture=1 lock_identity=1 root_empty=1 fixture_layout=1 not_reported_read_only=1 ofd_lock=1 scratch_wiped=1 owner_wiped=1 owner_unlocked=1 credential_syscalls=17 root_fixture_syscalls=41 ofd_attempts=1 filesystem_reserve=948568064 logical_authority_bound=16777216
047	status=ok_non_authoritative credential_admitted=1 credential_before_root=1 key_tuple=1 parent=1 root=1 fixture=1 lock_identity=1 root_empty=1 fixture_layout=1 not_reported_read_only=1 ofd_lock=1 scratch_wiped=1 owner_wiped=1 owner_unlocked=1 credential_syscalls=17 root_fixture_syscalls=41 ofd_attempts=1 filesystem_reserve=948568064 logical_authority_bound=16777216
048	status=ok_non_authoritative credential_admitted=1 credential_before_root=1 key_tuple=1 parent=1 root=1 fixture=1 lock_identity=1 root_empty=1 fixture_layout=1 not_reported_read_only=1 ofd_lock=1 scratch_wiped=1 owner_wiped=1 owner_unlocked=1 credential_syscalls=17 root_fixture_syscalls=41 ofd_attempts=1 filesystem_reserve=948568064 logical_authority_bound=16777216
049	status=ok_non_authoritative credential_admitted=1 credential_before_root=1 key_tuple=1 parent=1 root=1 fixture=1 lock_identity=1 root_empty=1 fixture_layout=1 not_reported_read_only=1 ofd_lock=1 scratch_wiped=1 owner_wiped=1 owner_unlocked=1 credential_syscalls=17 root_fixture_syscalls=41 ofd_attempts=1 filesystem_reserve=948568064 logical_authority_bound=16777216
050	status=ok_non_authoritative credential_admitted=1 credential_before_root=1 key_tuple=1 parent=1 root=1 fixture=1 lock_identity=1 root_empty=1 fixture_layout=1 not_reported_read_only=1 ofd_lock=1 scratch_wiped=1 owner_wiped=1 owner_unlocked=1 credential_syscalls=17 root_fixture_syscalls=41 ofd_attempts=1 filesystem_reserve=948568064 logical_authority_bound=16777216
051	status=ok_non_authoritative credential_admitted=1 credential_before_root=1 key_tuple=1 parent=1 root=1 fixture=1 lock_identity=1 root_empty=1 fixture_layout=1 not_reported_read_only=1 ofd_lock=1 scratch_wiped=1 owner_wiped=1 owner_unlocked=1 credential_syscalls=17 root_fixture_syscalls=41 ofd_attempts=1 filesystem_reserve=948568064 logical_authority_bound=16777216
